SERVER,BTOP_CHAMP_ID,BJGL_CHAMP_ID,BMID_CHAMP_ID,BBOT_CHAMP_ID,BSUP_CHAMP_ID,BBAN1,BBAN2,BBAN3,BBAN4,BBAN5,RTOP_CHAMP_ID,RJGL_CHAMP_ID,RMID_CHAMP_ID,RBOT_CHAMP_ID,RSUP_CHAMP_ID,RBAN1,RBAN2,RBAN3,RBAN4,RBAN5,WINNER
EUROPE,84,254,777,145,111,429,15,119,29,114,24,60,7,523,201,895,163,78,114,517,0
EUROPE,266,48,38,119,555,517,35,39,246,62,114,141,3,67,40,7,429,200,234,17,0
EUROPE,41,234,163,222,497,141,166,40,350,84,516,78,13,81,111,166,350,114,421,895,1
EUROPE,887,107,163,15,497,350,246,895,40,119,113,131,157,429,412,895,517,7,119,432,0
EUROPE,150,77,147,29,888,246,40,200,266,429,2,62,517,15,22,246,131,-1,166,119,0
EUROPE,114,62,7,145,50,41,119,429,246,350,54,234,61,15,888,107,28,200,40,119,1
EUROPE,24,141,127,29,350,-1,43,28,62,84,133,9,777,119,555,-1,895,157,40,114,0
EUROPE,887,26,166,67,48,114,555,777,163,157,516,62,112,119,888,350,86,141,107,28,0
EUROPE,58,91,163,81,37,350,429,166,15,78,887,254,142,523,111,432,17,119,28,350,1
EUROPE,164,30,42,29,79,114,107,-1,235,44,516,78,517,360,412,142,429,166,350,119,1
EUROPE,122,254,4,96,37,29,266,895,350,119,86,59,222,112,117,11,-1,15,164,119,1
EUROPE,92,104,163,236,267,166,777,29,429,555,122,64,90,15,37,350,28,107,429,119,0
EUROPE,82,78,45,119,555,268,200,62,67,350,887,234,55,16,89,15,432,350,246,157,1
EUROPE,92,104,268,15,555,107,29,350,55,119,150,64,163,360,111,200,350,429,55,119,0
EUROPE,23,78,84,51,412,268,360,114,350,15,24,62,50,429,111,895,80,114,119,117,0
EUROPE,36,421,517,101,235,7,114,-1,28,-1,122,163,84,96,888,268,350,29,141,67,0
EUROPE,58,121,517,429,147,29,62,887,221,246,86,234,134,360,111,163,164,268,119,888,1
EUROPE,133,154,268,15,40,429,96,246,-1,555,122,234,711,145,888,24,119,114,163,104,0
EUROPE,240,76,38,119,43,111,429,67,28,166,887,64,112,81,432,150,163,-1,-1,350,0
EUROPE,887,113,163,29,44,150,119,235,107,84,80,200,166,45,432,235,150,15,429,421,0
EUROPE,150,77,711,15,497,119,60,203,246,350,68,121,517,157,235,107,163,350,887,200,0
EUROPE,79,5,7,429,432,119,246,150,350,107,266,163,134,360,888,77,78,555,350,107,1
EUROPE,68,64,711,202,111,40,163,887,166,350,98,131,157,119,43,555,150,107,163,78,0
EUROPE,68,62,142,15,37,11,895,91,555,350,360,234,245,164,26,114,84,119,141,235,0
EUROPE,41,234,523,22,112,429,107,350,117,200,39,91,163,15,555,350,-1,429,119,114,0
EUROPE,41,11,103,119,526,55,887,429,62,350,112,92,234,81,37,246,429,7,107,111,1
EUROPE,266,154,55,523,427,91,350,141,203,163,41,107,112,15,555,350,38,78,33,111,1
EUROPE,41,104,245,15,267,107,111,350,91,517,887,80,7,119,37,895,555,141,421,17,1
EUROPE,200,107,81,163,432,429,43,157,104,887,113,62,147,236,117,30,235,78,141,203,0
